,X,Y,OBJECTID,ticket_number,issued_date,location,description,status,amount,dayofweek,hour,coords
2165,-8475594.52081043,5319321.76925427,2166,23500325,2023/01/13 09:12:00+00,900 FAYETTE ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25,Friday,09,"('43.0484055', '-76.1374615')"
2166,-8475594.52081043,5319321.76925427,2167,23500326,2023/01/13 09:13:00+00,900 FAYETTE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Friday,09,"('43.0484055', '-76.1374615')"
2167,,,2168,231500303,2023/01/13 09:13:00+00,200 GERTRUDE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Friday,09,"('43.054477', '-76.136748')"
2168,-8475378.11568663,5320348.68159522,2169,231500304,2023/01/13 09:15:00+00,300 GERTRUDE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Friday,09,"('43.0549991', '-76.1356152')"
2169,-8475378.11568663,5320348.68159522,2170,231500305,2023/01/13 09:15:00+00,300 GERTRUDE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Friday,09,"('43.0549991', '-76.1356152')"
2170,-8475378.11568663,5320348.68159522,2171,231500306,2023/01/13 09:17:00+00,300 GERTRUDE ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Approved,0,Friday,09,"('43.0549991', '-76.1356152')"
2171,,,2172,231500308,2023/01/13 09:19:00+00,200 GERTRUDE ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Friday,09,"('43.054477', '-76.136748')"
2172,-8475378.11568663,5320348.68159522,2173,231500307,2023/01/13 09:17:00+00,300 GERTRUDE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Approved,0,Friday,09,"('43.0549991', '-76.1356152')"
2173,-8475444.23950705,5320037.44259703,2174,231500309,2023/01/13 09:22:00+00,500 HAWLEY AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Friday,09,"('43.0530729', '-76.1361246')"
2174,-8474021.07545049,5318869.36034884,2175,23500328,2023/01/13 09:26:00+00,1400 MADISON ST,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Fourth Notice,25,Friday,09,"('43.0452954', '-76.1234021')"
2175,-8474021.07545049,5318869.36034884,2176,23500329,2023/01/13 09:26:00+00,1400 MADISON ST,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25,Friday,09,"('43.0452954', '-76.1234021')"
2176,,,2177,231500310,2023/01/13 09:27:00+00,200 HAWLEY AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Friday,09,"('43.0531245', '-76.1436109')"
2177,-8475594.52081043,5319321.76925427,2178,23500327,2023/01/13 09:16:00+00,900 FAYETTE ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Issued,25,Friday,09,"('43.0484055', '-76.1374615')"
2178,,,2179,231500311,2023/01/13 09:29:00+00,100 WAYNE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Friday,09,"('43.0541216', '-76.1421976')"
2179,-8474021.07545049,5318869.36034884,2180,23500330,2023/01/13 09:26:00+00,1400 MADISON ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25,Friday,09,"('43.0452954', '-76.1234021')"
2180,,,2181,230700204,2023/01/13 09:36:00+00,700 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,09,"('43.0424791', '-76.1383985')"
2181,-8475758.32744338,5317806.97095819,2182,230700207,2023/01/13 09:43:00+00,800 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,09,"('43.0384987', '-76.1390041')"
2182,-8472254.76903999,5322046.28241559,2183,231300276,2023/01/13 09:46:00+00,200 COLLINGWOOD AVE S,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Void Approved,0,Friday,09,"('43.0661403', '-76.1076103')"
2183,,,2184,230700210,2023/01/13 09:55:00+00,700 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,09,"('43.0424791', '-76.1383985')"
2184,-8475758.32744338,5317806.97095819,2185,230700208,2023/01/13 09:44:00+00,800 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,25,Friday,09,"('43.0384987', '-76.1390041')"
2185,-8475758.32744338,5317806.97095819,2186,230700209,2023/01/13 09:46:00+00,800 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,09,"('43.0384987', '-76.1390041')"
2186,,,2187,230700211,2023/01/13 09:57:00+00,700 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,25,Friday,09,"('43.0424791', '-76.1383985')"
2187,,,2188,230700212,2023/01/13 10:03:00+00,800 CROUSE AVE S,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,10,"('43.04007083343953', '-76.13670371296793')"
2188,,,2189,230700213,2023/01/13 10:03:00+00,800 CROUSE AVE S,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,10,"('43.04007083343953', '-76.13670371296793')"
2189,,,2190,230700216,2023/01/13 10:11:00+00,600 CROUSE AVE S,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,25,Friday,10,"('43.044079', '-76.136703')"
2190,,,2191,230700214,2023/01/13 10:04:00+00,800 CROUSE AVE S,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,10,"('43.04007083343953', '-76.13670371296793')"
2191,,,2192,230700215,2023/01/13 10:05:00+00,800 CROUSE AVE S,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,10,"('43.04007083343953', '-76.13670371296793')"
2192,,,2193,230700218,2023/01/13 10:15:00+00,600 CROUSE AVE S,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,10,"('43.044079', '-76.136703')"
2193,,,2194,230700217,2023/01/13 10:13:00+00,600 CROUSE AVE S,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,10,"('43.044079', '-76.136703')"
2194,,,2195,230900206,2023/01/13 09:30:00+00, CITY LOT 21,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,25,Friday,09,"('43.0481221', '-76.1474244')"
2195,,,2196,230700220,2023/01/13 10:23:00+00,500 CROUSE AVE S,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Friday,10,"('43.04524', '-76.136693')"
2196,,,2197,230700219,2023/01/13 10:15:00+00,600 CROUSE AVE S,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Friday,10,"('43.044079', '-76.136703')"
2197,,,2198,230900207,2023/01/13 09:32:00+00, CITY LOT 21,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Partial ,10,Friday,09,"('43.0481221', '-76.1474244')"
2198,,,2199,230900208,2023/01/13 09:33:00+00, CITY LOT 21,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Friday,09,"('43.0481221', '-76.1474244')"
2199,,,2200,230900209,2023/01/13 09:35:00+00, CITY LOT 21,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Friday,09,"('43.0481221', '-76.1474244')"
2200,,,2201,230900213,2023/01/13 09:44:00+00,200 BANK ALLEY,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25,Friday,09,"('43.048555', '-76.15158')"
2201,-8477183.4951778,5319493.14196284,2202,230900210,2023/01/13 09:41:00+00,100 WASHINGTON ST E,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25,Friday,09,"('43.0493828', '-76.1518326')"
2202,,,2203,230900214,2023/01/13 09:44:00+00,200 BANK ALLEY,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Friday,09,"('43.048555', '-76.15158')"
2203,,,2204,230900215,2023/01/13 09:44:00+00,200 BANK ALLEY,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Friday,09,"('43.048555', '-76.15158')"
2204,-8477183.4951778,5319493.14196284,2205,230900211,2023/01/13 09:42:00+00,100 WASHINGTON ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Third Notice,25,Friday,09,"('43.0493828', '-76.1518326')"
2205,-8477183.4951778,5319493.14196284,2206,230900212,2023/01/13 09:42:00+00,100 WASHINGTON ST E,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Third Notice,25,Friday,09,"('43.0493828', '-76.1518326')"
2206,,,2207,230900217,2023/01/13 09:50:00+00,200 BANK ALLEY,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Friday,09,"('43.048555', '-76.15158')"
2207,,,2208,230900218,2023/01/13 09:51:00+00,200 BANK ALLEY,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25,Friday,09,"('43.048555', '-76.15158')"
2208,,,2209,230900219,2023/01/13 09:58:00+00,300 SALINA ST S,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25,Friday,09,"('43.048561', '-76.152329')"
2209,,,2210,230900221,2023/01/13 10:03:00+00,300 SALINA ST S,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Friday,10,"('43.048561', '-76.152329')"
2210,,,2211,230900220,2023/01/13 09:59:00+00,300 SALINA ST S,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Friday,09,"('43.048561', '-76.152329')"
2211,,,2212,230900222,2023/01/13 10:06:00+00,100 JEFFERSON ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Pending ,25,Friday,10,"('43.046948', '-76.151286')"
2212,,,2213,230900226,2023/01/13 10:09:00+00,100 JEFFERSON ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25,Friday,10,"('43.046948', '-76.151286')"
2213,,,2214,230900223,2023/01/13 10:07:00+00,100 JEFFERSON ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25,Friday,10,"('43.046948', '-76.151286')"
2214,,,2215,230900224,2023/01/13 10:07:00+00,100 JEFFERSON ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25,Friday,10,"('43.046948', '-76.151286')"
2215,,,2216,230900225,2023/01/13 10:07:00+00,100 JEFFERSON ST E,NONE/ONE LICENSE PLATE/ALL VTL402-1,Fourth Notice,25,Friday,10,"('43.046948', '-76.151286')"
2216,-8477088.31705368,5319361.52736912,2217,230900227,2023/01/13 10:11:00+00,300 WARREN ST S,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Friday,10,"('43.048532949999995', '-76.15107612442631')"
2217,-8473640.86368371,5316562.41554059,2218,23500333,2023/01/13 09:40:00+00,200 KENSINGTON PL,LEFT WHEELS TO CURB/ALL CO15-301,Paid In Full,25,Friday,09,"('43.0301396', '-76.119975')"
2218,-8473640.86368371,5316562.41554059,2219,23500334,2023/01/13 09:42:00+00,200 KENSINGTON PL,PARKED ON SIDEWALK/ALL CO15-316 (A)1,Paid In Full,60,Friday,09,"('43.0301396', '-76.119975')"
2219,-8473640.86368371,5316562.41554059,2220,23500335,2023/01/13 09:42:00+00,200 KENSINGTON PL,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Friday,09,"('43.0301396', '-76.119975')"
2220,,,2221,23500336,2023/01/13 09:45:00+00,200 ANDOVER RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Friday,09,"('43.027764', '-76.120645')"
2221,,,2222,23500338,2023/01/13 09:52:00+00,100 REDFIELD PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Friday,09,"('43.037424', '-76.123079')"
2222,-8474026.08481945,5317787.78056998,2223,23500337,2023/01/13 09:49:00+00,700 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Friday,09,"('43.03820535', '-76.1235476067711')"
2223,,,2224,23500340,2023/01/13 09:55:00+00,600 CLARENDON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Friday,09,"('43.03839643076923', '-76.12091832307692')"
2224,,,2225,23500339,2023/01/13 09:53:00+00,100 REDFIELD PL,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Pending ,25,Friday,09,"('43.037424', '-76.123079')"
2225,-8473720.51276714,5318726.78751602,2226,23500341,2023/01/13 10:00:00+00,451 COLUMBUS AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Friday,10,"('43.0443555', '-76.1207259')"
2226,-8473341.80393535,5319131.20646115,2227,23500343,2023/01/13 10:05:00+00,300 ALLEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60,Friday,10,"('43.0470108', '-76.1173205')"
2227,,,2228,23500342,2023/01/13 10:02:00+00,100 LEXINGTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Friday,10,"('43.047009', '-76.12332')"
2228,,,2229,23500346,2023/01/13 10:32:00+00,129 MILES AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Friday,10,"('43.0347521', '-76.1160592')"
2229,-8473376.3685626,5318281.26143549,2230,23500344,2023/01/13 10:09:00+00,200 HARVARD PL,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25,Friday,10,"('43.0414057', '-76.1175942')"
2230,,,2231,23500347,2023/01/13 10:36:00+00,900 EUCLID AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Friday,10,"('43.036791', '-76.11753')"
2231,,,2232,23500348,2023/01/13 10:38:00+00,900 EUCLID AVE,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25,Friday,10,"('43.036791', '-76.11753')"
2232,-8473268.16599767,5317885.10392047,2233,23500345,2023/01/13 10:24:00+00,700 ALLEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Friday,10,"('43.0388235', '-76.1166619')"
2233,,,2234,23500351,2023/01/13 10:46:00+00,800 WESTMORELAND AVE,NONE/ONE LICENSE PLATE/ALL VTL402-1,Paid In Full,25,Friday,10,"('43.03920374024595', '-76.114203914592')"
2234,,,2235,23500349,2023/01/13 10:40:00+00,800 WESTMORELAND AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Friday,10,"('43.03920374024595', '-76.114203914592')"
2235,,,2236,23500350,2023/01/13 10:44:00+00,700 WESTMORELAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Friday,10,"('43.041276', '-76.114371')"
2236,-8473848.25193024,5318170.2259865,2237,23500352,2023/01/13 10:55:00+00,100 JUDSON ST,LEFT WHEELS TO CURB/ALL CO15-301,Second Notice,25,Friday,10,"('43.0406743', '-76.1218189')"
2237,-8473848.25193024,5318170.2259865,2238,23500353,2023/01/13 10:57:00+00,100 JUDSON ST,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Friday,10,"('43.0406743', '-76.1218189')"
2238,-8473848.25193024,5318170.2259865,2239,23500354,2023/01/13 10:58:00+00,100 JUDSON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Friday,10,"('43.0406743', '-76.1218189')"
2239,,,2240,23500357,2023/01/13 11:08:00+00,100 CLARENDON ST,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25,Friday,11,"('43.037894', '-76.128155')"
2240,-8473799.15996706,5318040.00085864,2241,23500356,2023/01/13 11:02:00+00,100 TRINITY PL,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Friday,11,"('43.0398343', '-76.1214031')"
2241,-8473848.25193024,5318170.2259865,2242,23500355,2023/01/13 10:59:00+00,100 JUDSON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Friday,10,"('43.0406743', '-76.1218189')"
2242,-8474382.7523959,5317486.22158069,2243,23500359,2023/01/13 11:17:00+00,400 EUCLID AVE,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Adjudication Approved,0,Friday,11,"('43.0362118', '-76.1266428')"
2243,,,2244,23500358,2023/01/13 11:11:00+00,800 SUMNER AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,25,Friday,11,"('43.036339', '-76.125755')"
2244,,,2245,230900229,2023/01/13 11:24:00+00,200 WARREN ST S,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25,Friday,11,"('43.049428', '-76.15086')"
2245,,,2246,230900228,2023/01/13 11:22:00+00,200 WARREN ST S,PARKED IN LOADING ZONE/ALL CO15-329,Fourth Notice,25,Friday,11,"('43.049428', '-76.15086')"
2246,,,2247,23500360,2023/01/13 11:26:00+00,700 COMSTOCK AVE,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Fourth Notice,60,Friday,11,"('43.039224', '-76.130184')"
2247,,,2248,230900230,2023/01/13 11:29:00+00, CITY LOT 21,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Friday,11,"('43.0481221', '-76.1474244')"
2248,,,2249,230900231,2023/01/13 11:31:00+00, CITY LOT 21,NONE/ONE LICENSE PLATE/ALL VTL402-1,Paid In Full,25,Friday,11,"('43.0481221', '-76.1474244')"
2249,,,2250,230900233,2023/01/13 11:36:00+00,200 CLINTON ST S,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Friday,11,"('43.049479', '-76.153671')"
2250,,,2251,230900232,2023/01/13 11:36:00+00,200 CLINTON ST S,NO PERMIT/ALL TIMES CO15-365,Paid In Full,25,Friday,11,"('43.049479', '-76.153671')"
2251,,,2252,391797D,2023/01/12 04:30:00+00,100 NORTH AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Thursday,04,"('43.0983615', '-76.2500303')"
2252,,,2253,391167D,2023/01/12 11:29:00+00,300 LEWIS ST,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Thursday,11,"('43.055333', '-76.191937')"
2253,-8476769.72062886,5319449.27025695,2254,230900234,2023/01/13 11:41:00+00,300 WASHINGTON ST W,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25,Friday,11,"('43.0497', '-76.15569')"
2254,-8477618.80998283,5319295.72088256,2255,230900235,2023/01/13 13:33:00+00,200 WALTON ST,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Friday,13,"('43.0480834', '-76.1556976')"
2255,,,2256,397211D,2023/01/12 09:50:00+00,200 WASHINGTON ST E,TAXI STAND ONLY/ALL CO15-334,Paid In Full,25,Thursday,09,"('43.049466', '-76.15058')"
2256,-8477618.80998283,5319295.72088256,2257,230900236,2023/01/13 13:34:00+00,200 WALTON ST,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Friday,13,"('43.0480834', '-76.1556976')"
2257,,,2258,230900238,2023/01/13 13:40:00+00, WALTON ST CITY LOT,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25,Friday,13,"(0, 0)"
2258,-8477618.80998283,5319295.72088256,2259,230900237,2023/01/13 13:37:00+00,200 WALTON ST,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Paid In Full,100,Friday,13,"('43.0480834', '-76.1556976')"
2259,-8476854.87998926,5319351.93054359,2260,230900240,2023/01/13 13:43:00+00,300 FAYETTE ST W,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25,Friday,13,"('43.04900685', '-76.15629208375377')"
2260,-8476854.87998926,5319351.93054359,2261,230900239,2023/01/13 13:42:00+00,300 FAYETTE ST W,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Friday,13,"('43.04900685', '-76.15629208375377')"
2261,-8476854.87998926,5319351.93054359,2262,230900241,2023/01/13 13:43:00+00,300 FAYETTE ST W,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Friday,13,"('43.04900685', '-76.15629208375377')"
2262,,,2263,230700221,2023/01/13 14:05:00+00,200 STRATFORD ST,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Friday,14,"('43.033962', '-76.127796')"
2263,-8476854.87998926,5319351.93054359,2264,230900242,2023/01/13 13:44:00+00,300 FAYETTE ST W,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Friday,13,"('43.04900685', '-76.15629208375377')"
2264,,,2265,230700222,2023/01/13 14:10:00+00,700 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.039224', '-76.130184')"
2265,-8476854.87998926,5319351.93054359,2266,230900243,2023/01/13 13:44:00+00,300 FAYETTE ST W,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Friday,13,"('43.04900685', '-76.15629208375377')"
2266,-8476854.87998926,5319351.93054359,2267,230900244,2023/01/13 13:46:00+00,300 FAYETTE ST W,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25,Friday,13,"('43.04900685', '-76.15629208375377')"
2267,,,2268,230700223,2023/01/13 14:11:00+00,700 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.039224', '-76.130184')"
2268,,,2269,230700224,2023/01/13 14:11:00+00,700 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.039224', '-76.130184')"
2269,,,2270,230700225,2023/01/13 14:12:00+00,700 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.039224', '-76.130184')"
2270,,,2271,230700226,2023/01/13 14:14:00+00,700 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.039224', '-76.130184')"
2271,,,2272,230700228,2023/01/13 14:15:00+00,700 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.039224', '-76.130184')"
2272,,,2273,230700227,2023/01/13 14:15:00+00,700 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.039224', '-76.130184')"
2273,,,2274,230700231,2023/01/13 14:18:00+00,700 COMSTOCK AVE,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Paid In Full,60,Friday,14,"('43.039224', '-76.130184')"
2274,,,2275,230700230,2023/01/13 14:18:00+00,700 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.039224', '-76.130184')"
2275,,,2276,230700229,2023/01/13 14:16:00+00,700 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,25,Friday,14,"('43.039224', '-76.130184')"
2276,,,2277,230700233,2023/01/13 14:20:00+00,700 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.039224', '-76.130184')"
2277,,,2278,230700232,2023/01/13 14:19:00+00,700 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.039224', '-76.130184')"
2278,,,2279,230700235,2023/01/13 14:23:00+00,700 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.039224', '-76.130184')"
2279,,,2280,230700234,2023/01/13 14:21:00+00,700 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.039224', '-76.130184')"
2280,,,2281,230700236,2023/01/13 14:28:00+00,600 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.040347', '-76.130274')"
2281,,,2282,230700238,2023/01/13 14:30:00+00,600 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.040347', '-76.130274')"
2282,,,2283,230700237,2023/01/13 14:29:00+00,600 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Void Approved,0,Friday,14,"('43.040347', '-76.130274')"
2283,-8472356.96039371,5318554.05801343,2284,386747D,2023/01/21 13:30:00+00,2700 GENESEE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60,Saturday,13,"('43.04320045', '-76.1084803')"
2284,,,2285,230700206,2023/01/13 09:38:00+00,700 IRVING AVE,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Friday,09,"('43.0424791', '-76.1383985')"
2285,,,2286,230700239,2023/01/13 14:31:00+00,600 COMSTOCK AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,Friday,14,"('43.040347', '-76.130274')"
2286,,,2287,230700205,2023/01/13 09:38:00+00,700 IRVING AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Friday,09,"('43.0424791', '-76.1383985')"
2287,,,2288,230700240,2023/01/13 14:32:00+00,600 COMSTOCK AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Denied,25,Friday,14,"('43.040347', '-76.130274')"
2288,,,2289,230900216,2023/01/13 09:45:00+00,200 BANK ALLEY,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25,Friday,09,"('43.048555', '-76.15158')"
2289,,,2290,231500312,2023/01/13 09:36:00+00,500 LAUREL ST E,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Friday,09,"('43.058003', '-76.147285')"
2290,,,2291,231500315,2023/01/13 09:47:00+00,200 BELDEN AVE E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Friday,09,"('43.054777', '-76.151032')"
2291,,,2292,231500313,2023/01/13 09:37:00+00,500 LAUREL ST E,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Friday,09,"('43.058003', '-76.147285')"
2292,,,2293,231500314,2023/01/13 09:37:00+00,500 LAUREL ST E,PRKD BTWN SIDEWALK/CURB CO15-316 (A)1,Paid In Full,60,Friday,09,"('43.058003', '-76.147285')"
2293,,,2294,231500317,2023/01/13 09:59:00+00,600 LAUREL ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Friday,09,"('43.058623', '-76.145817')"
2294,,,2295,231500319,2023/01/13 10:03:00+00,700 LAUREL ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Friday,10,"('43.059092', '-76.145208')"
2295,,,2296,231500318,2023/01/13 09:59:00+00,600 LAUREL ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Friday,09,"('43.058623', '-76.145817')"
2296,,,2297,231500316,2023/01/13 09:57:00+00,500 LAUREL ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Friday,09,"('43.058003', '-76.147285')"
2297,,,2298,231500321,2023/01/13 10:07:00+00,200 SEWARD ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Friday,10,"('43.05955', '-76.143488')"
